"FunCat","Regulon","Operon","SACOL.numbers","USA300.numbers","Gene.symbol","log2.fold.change","Fold.change","Function"
"Protein folding","CtsR","ctsR mcsA mcsB clpC","SACOL0570","USA300HOU_0518","clpC",6.9,119.23,"AAA family ATP-binding protein"
"Protein folding","HrcA","groEL-groES","SACOL2016","USA300HOU_2024","groEL",4.8,27.85,"chaperone GroEL"
"Protein folding","HrcA","groEL-groES","SACOL2017","USA300HOU_2025","groES",4.66,25.33,"chaperone GroES"
"Protein folding","HrcA","hrcA-grpE-dnaKJ","SACOL1636","USA300HOU_1580","dnaJ",3.45,10.91,"chaperone DnaJ"
"Protein folding","HrcA","hrcA-grpE-dnaKJ","SACOL1637","USA300HOU_1581","dnaK",4.94,30.79,"chaperone DnaK"
"Protein folding","HrcA","hrcA-grpE-dnaKJ","SACOL1638","USA300HOU_1582","grpE",4.52,22.98,"chaperone GrpE"
"Protein folding","HrcA","hrcA-grpE-dnaKJ","SACOL1639","USA300HOU_1583","hrcA",4.51,22.72,"heat shock transcriptional repressor HrcA"
"Redox regulons","CsoR","copA2Z2","-","USA300HOU_0084","copA2",5.93,60.82,"copper-translocating P-type ATPase CopA2"
"Redox regulons","CsoR","copA2Z2","-","USA300HOU_0085","copZ2",6.01,64.6,"putative copper ion binding lipoprotein CopZ2"
"Redox regulons","CsoR","copAZ","SACOL2572","USA300HOU_2552","copA",5.6,48.43,"copper-translocating P-type ATPase CopA"
"Redox regulons","CsoR","copAZ","SACOL2573","USA300HOU_2553","copZ",5.82,56.51,"copper ion binding protein CopZ"
"Redox regulons","CstR","cstAB sqr","SACOL0063","USA300HOU_0092","cstA",4.95,31.02,"rhodanese domain-containing protein"
"Redox regulons","CstR","cstAB sqr","SACOL0064","USA300HOU_0093","cstB",5.06,33.44,"hydroxyacylglutathione hydrolase"
"Redox regulons","CstR","cstR tauE","SACOL0061","USA300HOU_0090","tauE",1.16,2.23,"hypothetical membrane protein"
"Redox regulons","CstR","cstR tauE","SACOL0062","USA300HOU_0091","cstR",1.67,3.19,"repressor of hydrogen sulfide detoxification cstAB-sqr operon "
"Redox regulons","CzrA","czrAB","SACOL2137","USA300HOU_2134","czrA",-0.06,0.96,"transcriptional regulator CzrA"
"Redox regulons","CzrA","czrAB","SACOL2138","USA300HOU_2135","czrB",0.68,1.61,"CDF family cation diffusion facilitator CzrB"
"Redox regulons","Fur","citB","SACOL1385","USA300HOU_1283","citB",1.18,2.27,"aconitate hydratase"
"Redox regulons","Fur","efeOBU","SACOL0414","USA300HOU_0364","efeO",2.49,5.62,"iron (Fe2+)-binding lipoprotein"
"Redox regulons","Fur","efeOBU","SACOL0415","USA300HOU_0365","efeB",1.74,3.35,"iron (Fe2+)-dependent Dyp family peroxidase"
"Redox regulons","Fur","efeOBU","SACOL0416","USA300HOU_0366","efeU",0.8,1.74,"OFeT family oxidase-dependent iron (Fe2+) transporter"
"Redox regulons","Fur","fbiB","SACOL0874","USA300HOU_0837","fbiB",1.85,3.61,"possible nitroreductase"
"Redox regulons","Fur","feoAB","SACOL2564","USA300HOU_2544","feoB",1.95,3.86,"FeoB family ferrous iron (Fe2+) uptake protein"
"Redox regulons","Fur","feoAB","SACOL2565","USA300HOU_2545","feoA",3.46,11.02,"hypothetical protein"
"Redox regulons","Fur","fhuABG","SACOL0704","USA300HOU_0668","fhuA",2.68,6.4,"iron (Fe3+) ABC transporter, ATP-binding protein"
"Redox regulons","Fur","fhuABG","SACOL0705","USA300HOU_0669","fhuB",2.14,4.42,"iron (Fe3+) ABC transporter, membrane protein"
"Redox regulons","Fur","fhuABG","SACOL0706","USA300HOU_0670","fhuG",1.64,3.11,"iron (Fe3+) ABC transporter, membrane protein"
"Redox regulons","Fur","ftnA","SACOL1952","USA300HOU_1891","ftn",3.73,13.23,"ferritin"
"Redox regulons","Fur","htsABC","SACOL2165","USA300HOU_2167","htsC",1.45,2.74,"heme ABC transporter, permease HtsC"
"Redox regulons","Fur","htsABC","SACOL2166","USA300HOU_2168","htsB",1.69,3.22,"heme ABC transporter, permease HtsB"
"Redox regulons","Fur","htsABC","SACOL2167","USA300HOU_2169","htsA",1.98,3.93,"heme ABC transporter, heme-binding protein HtsA"
"Redox regulons","Fur","isdABCDEFG","SACOL1140","USA300HOU_1064","isdA",0.52,1.43,"iron (Fe2+)-regulated surface determinant protein IsdA"
"Redox regulons","Fur","isdABCDEFG","SACOL1141","USA300HOU_1065","isdC",2.86,7.24,"iron (Fe2+)-regulated surface determinant protein IsdC"
"Redox regulons","Fur","isdABCDEFG","SACOL1142","USA300HOU_1066","isdD",2.46,5.5,"hemoglobin iron ABC transporter, membrane component IsdD"
"Redox regulons","Fur","isdABCDEFG","SACOL1143","USA300HOU_1067","isdE",2.28,4.87,"hemoglobin iron ABC transporter, lipoprotein IsdE"
"Redox regulons","Fur","isdABCDEFG","SACOL1144","USA300HOU_1068","isdF",1.03,2.05,"hemoglobin iron ABC transporter, permease IsdF"
"Redox regulons","Fur","isdABCDEFG","SACOL1146","USA300HOU_1069","isdG",1.15,2.21,"heme-degrading monooxygenase IsdG"
"Redox regulons","Fur","isdH","SACOL1781","USA300HOU_1720","isdH",-1.74,0.3,"cell wall surface anchored protein"
"Redox regulons","Fur","iucB","SACOL2171","USA300HOU_2173","iucB",0.99,1.98,"possible Iuc family aerobactin synthesis protein"
"Redox regulons","Fur","sbnABCDEFGHI","SACOL0100","USA300HOU_0127","sbnA",5.53,46.22,"possible pyridoxal-phosphate dependent enzyme"
"Redox regulons","Fur","sbnABCDEFGHI","SACOL0101","USA300HOU_0128","sbnB",5.86,58.08,"possible ornithine cyclodeaminase"
"Redox regulons","Fur","sbnABCDEFGHI","SACOL0102","USA300HOU_0129","sbnC",5.09,34.06,"IucA/IucC family siderophore biosynthesis protein"
"Redox regulons","Fur","sbnABCDEFGHI","SACOL0103","USA300HOU_0130","sbnD",4.77,27.26,"MFS family major facilitator transporter"
"Redox regulons","Fur","sbnABCDEFGHI","SACOL0104","USA300HOU_0131","sbnE",4.12,17.41,"IucA/IucC family siderophore biosynthesis protein"
"Redox regulons","Fur","sbnABCDEFGHI","SACOL0105","USA300HOU_0132","sbnF",3.63,12.37,"IucA/IucC family siderophore biosynthesis protein"
"Redox regulons","Fur","sbnABCDEFGHI","SACOL0106","USA300HOU_0133","sbnG",2.91,7.54,"HpcH/HpaI family aldolase"
"Redox regulons","Fur","sbnABCDEFGHI","SACOL0107","USA300HOU_0134","sbnH",2.55,5.84,"diaminopimelate decarboxylase"
"Redox regulons","Fur","sbnABCDEFGHI","SACOL0108","USA300HOU_0135","sbnl",2.26,4.78,"hypothetical protein"
"Redox regulons","Fur","sirABC","SACOL0097","USA300HOU_0124","sirC",1.44,2.71,"Siderophore staphylobactin ABC transporter, permease protein SirC"
"Redox regulons","Fur","sirABC","SACOL0098","USA300HOU_0125","sirB",0.46,1.37,"Siderophore staphylobactin ABC transporter, permease protein SirB"
"Redox regulons","Fur","sirABC","SACOL0099","USA300HOU_0126","sirA",0.08,1.06,"Siderophore staphylobactin ABC transporter, siderophore-binding protein SirA"
"Redox regulons","Fur","sstABCD","SACOL0796","USA300HOU_0759","sstA",2.21,4.63,"siderophore-Fe(III) ABC transporter permease"
"Redox regulons","Fur","sstABCD","SACOL0797","USA300HOU_0760","sstB",2.2,4.59,"siderophore-Fe(III) ABC transporter permease"
"Redox regulons","Fur","sstABCD","SACOL0798","USA300HOU_0761","sstC",2.02,4.06,"siderophore-Fe(III) ABC transporter, ATP-binding protein"
"Redox regulons","Fur","sstABCD","SACOL0799","USA300HOU_0762","sstD",3.06,8.36,"siderophore-Fe(III) ABC transporter,lipoprotein"
"Redox regulons","Fur","tatAC","SACOL0417","USA300HOU_0367","tatC",-0.65,0.64,"Tat family twin arginine targeting transporter TatC"
"Redox regulons","Fur","tatAC","SACOL0418","USA300HOU_0368","tatA",-0.47,0.72,"Tat family twin arginine targeting transporter TatA"
"Redox regulons","HypR","hypR merA ","SACOL0640","USA300HOU_0587","merA",8.32,320.5,"pyridine nucleotide-disulfide reductase"
"Redox regulons","HypR","hypR merA ","SACOL0641","USA300HOU_0588","hypR",8.54,372.54,"Rrf2-family repressor of the hypR-merA operon"
"Redox regulons","MhqR","mhqR mhqD mhqE","SACOL2529","USA300HOU_2508","mhqD",6.61,97.61,"phospholipase/carboxylesterase"
"Redox regulons","MhqR","mhqR mhqD mhqE","SACOL2530","USA300HOU_2509","mhqE",7.1,137.23,"hypothetical protein"
"Redox regulons","MhqR","mhqR mhqD mhqE","SACOL2531","USA300HOU_2510","mhqR",6.1,68.82,"MarR family transcriptional regulator"
"Redox regulons","NsrR","SACOL0219 hmp","SACOL0219","USA300HOU_0248","USA300HOU_0248",3.19,9.15,"hypothetical protein"
"Redox regulons","NsrR","SACOL0219 hmp","SACOL0220","USA300HOU_0249","hmp",3,8.01,"flavohemoprotein"
"Redox regulons","PerR","ahpCF","SACOL0451","USA300HOU_0403","ahpF",6.41,84.84,"peroxiredoxin subunit F"
"Redox regulons","PerR","ahpCF","SACOL0452","USA300HOU_0404","ahpC",6.82,113.13,"peroxiredoxin subunit C"
"Redox regulons","PerR","bcp SACOL1920","SACOL1920","USA300HOU_1857","USA300HOU_1857",3.29,9.75,"D-3-phosphoglycerate dehydrogenase"
"Redox regulons","PerR","bcp SACOL1920","SACOL1921","USA300HOU_1858","bcp",3.47,11.07,"possible peroxiredoxin"
"Redox regulons","PerR","dps","SACOL2131","USA300HOU_2128","dps",7.33,161.04,"Dps family stress protein"
"Redox regulons","PerR","katA","SACOL1368","USA300HOU_1277","katA",4.92,30.21,"catalase"
"Redox regulons","PerR","perR","SACOL1919","USA300HOU_1856","perR",1.41,2.65,"peroxide regulon repressor PerR"
"Redox regulons","PerR","sufCDSUB","SACOL0914","USA300HOU_0870","sufC",0.62,1.54,"FeS assembly ATPase SufC"
"Redox regulons","PerR","sufCDSUB","SACOL0915","USA300HOU_0871","sufD",1.04,2.06,"FeS assembly protein SufD"
"Redox regulons","PerR","sufCDSUB","SACOL0916","USA300HOU_0873","sufS",1.28,2.44,"SufS subfamily cysteine desulfurase"
"Redox regulons","PerR","sufCDSUB","SACOL0917","USA300HOU_0874","sufU",1.35,2.55,"NifU family SUF system FeS assembly protein"
"Redox regulons","PerR","sufCDSUB","SACOL0918","USA300HOU_0875","sufB",1.56,2.96,"FeS assembly protein SufB"
"Redox regulons","PerR","tpx","SACOL1762","USA300HOU_1700","tpx",3.42,10.67,"possible peroxiredoxin"
"Redox regulons","PerR","trxB","SACOL0829","USA300HOU_0792","trxB",3.24,9.44,"thioredoxin-disulfide reductase"
"Redox regulons","QsrR","catE SACOL0409 azoR1","SACOL0408","USA300HOU_0358","catE",5.53,46.1,"possible lactoylglutathione lyase"
"Redox regulons","QsrR","catE SACOL0409 azoR1","SACOL0409","USA300HOU_0359","USA300HOU_0359",5.71,52.37,"possible alkanal monooxygenase (FMN-linked)"
"Redox regulons","QsrR","catE SACOL0409 azoR1","SACOL0410","USA300HOU_0360","azoR1",5.88,58.98,"possible FMN reductase"
"Redox regulons","QsrR","catE2","SACOL2533","USA300HOU_2511","catE2",6.71,104.78,"possible dioxygenase"
"Redox regulons","QsrR","frp","SACOL2534","USA300HOU_2512","frp",5.01,32.16,"FMN reductase"
"Redox regulons","QsrR","yodC","SACOL2020","USA300HOU_2028","yodC",3.86,14.49,"possible nitroreductase"
"Redox regulons","Rex","SACOL2491","SACOL2491","USA300HOU_2471","USA300HOU_2471",-1.83,0.28,"hypothetical protein"
"Redox regulons","TetR","SACOL2588 SACOL2589","SACOL2588","USA300HOU_2567","USA300HOU_2567",10.13,1116.94,"hypothetical protein"
"Redox regulons","TetR","SACOL2588 SACOL2589","SACOL2589","USA300HOU_2568","USA300HOU_2568",9.93,977.47,"hypothetical protein"
"Redox regulons","Zur","mnmC","SACOL0948","USA300HOU_0905","mnmC",6.27,77.22,"hypothetical protein"
"Redox regulons","Zur","SACOL2600 feoB_3 cobW_3","SACOL2598","USA300HOU_2576","cobW_3",0.76,1.7,"cobalamin (vitamin B12) biosynthesis protein"
"Redox regulons","Zur","SACOL2600 feoB_3 cobW_3","SACOL2599","USA300HOU_2577","feoB_3",1.25,2.37,"FeoB family ferrous iron (Fe2+) uptake protein"
"Redox regulons","Zur","SACOL2600 feoB_3 cobW_3","SACOL2600","USA300HOU_2578","USA300HOU_2578",2.32,5.01,"hypothetical protein"
"Redox regulons","Zur","yciC","SACOL0491","USA300HOU_0452","yciC",4.2,18.42,"cobalamin (vitamin B12) biosynthesis protein"
"Redox regulons","Zur","zinT","SACOL2403","USA300HOU_2386","zinT",2.02,4.05,"ABC transporter, binding protein"
"Redox regulons","Zur","znuCB zur","SACOL1611","USA300HOU_1556","zur",0.93,1.9,"Zn-uptake transcriptional regulator "
"Redox regulons","Zur","znuCB zur","SACOL1612","USA300HOU_1557","znuB",0.97,1.96,"zinc ABC transporter, permease"
"Redox regulons","Zur","znuCB zur","SACOL1613","USA300HOU_1558","znuC",1,2,"zinc ABC transporter, ATP-binding protein"
"Stress and Starvation","SigB","-","SACOL0835","USA300HOU_0799","USA300HOU_0799",0.67,1.59,"hypothetical protein"
"Stress and Starvation","SigB","acrR SACOL2594 - SACOL2597","SACOL2593","USA300HOU_2572","acrR",5.09,33.97,"TetR family transcriptional regulator"
"Stress and Starvation","SigB","acrR SACOL2594 - SACOL2597","SACOL2594","USA300HOU_2573","USA300HOU_2573",5.09,34.01,"dehydrogenase"
"Stress and Starvation","SigB","acrR SACOL2594 - SACOL2597","SACOL2596","USA300HOU_2574","USA300HOU_2574",4.9,29.89,"hypothetical protein"
"Stress and Starvation","SigB","acrR SACOL2594 - SACOL2597","SACOL2597","USA300HOU_2575","USA300HOU_2575",5.17,35.95,"hydrolase"
"Stress and Starvation","SigB","adh1","SACOL0660","USA300HOU_0610","adh1",-1.23,0.43,"alcohol dehydrogenase"
"Stress and Starvation","SigB","asp23 SACOL2174 amaP opuD2","SACOL2173","USA300HOU_2175","asp23",3.6,12.1,"alkaline shock protein 23"
"Stress and Starvation","SigB","asp23 SACOL2174 amaP opuD2","SACOL2174","USA300HOU_2176","USA300HOU_2176",3.56,11.83,"hypothetical membrane protein"
"Stress and Starvation","SigB","asp23 SACOL2174 amaP opuD2","SACOL2175","USA300HOU_2177","amaP",3.39,10.46,"hypothetical protein"
"Stress and Starvation","SigB","asp23 SACOL2174 amaP opuD2","SACOL2176","USA300HOU_2178","opuD2",1.48,2.79,"BCCT family betaine/carnitine/choline transporter"
"Stress and Starvation","SigB","bmrU","SACOL0787","USA300HOU_0749","bmrU",1.37,2.58,"possible diacylglycerol kinase"
"Stress and Starvation","SigB","cap5ABCDEFGHIJKLMNOP","SACOL0136","USA300HOU_0163","cap5A",0.12,1.08,"capsular polysaccharide biosynthesis protein Cap5A"
"Stress and Starvation","SigB","cap5ABCDEFGHIJKLMNOP","SACOL0137","USA300HOU_0164","cap5B",0,1,"capsular polysaccharide biosynthesis protein Cap5B"
"Stress and Starvation","SigB","cap5ABCDEFGHIJKLMNOP","SACOL0138","USA300HOU_0165","cap5C",0.49,1.4,"capsular polysaccharide biosynthesis protein Cap5C"
"Stress and Starvation","SigB","cap5ABCDEFGHIJKLMNOP","SACOL0140","USA300HOU_0167","cap5E",0.91,1.87,"capsular polysaccharide biosynthesis protein Cap5E"
"Stress and Starvation","SigB","cap5ABCDEFGHIJKLMNOP","SACOL0141","USA300HOU_0168","cap5F",1.15,2.22,"capsular polysaccharide biosynthesis protein Cap5F"
"Stress and Starvation","SigB","cap5ABCDEFGHIJKLMNOP","SACOL0143","USA300HOU_0170","cap5H",1.13,2.19,"capsular polysaccharide biosynthesis protein Cap5H"
"Stress and Starvation","SigB","cap5ABCDEFGHIJKLMNOP","SACOL0144","USA300HOU_0171","cap5I",0.82,1.77,"capsular polysaccharide biosynthesis protein Cap5I"
"Stress and Starvation","SigB","cap5ABCDEFGHIJKLMNOP","SACOL0145","USA300HOU_0172","cap5J",0.99,1.99,"capsular polysaccharide biosynthesis protein Cap5J"
"Stress and Starvation","SigB","cap5ABCDEFGHIJKLMNOP","SACOL0146","USA300HOU_0173","cap5K",1.13,2.19,"capsular polysaccharide synthesis protein Cap5K"
"Stress and Starvation","SigB","cap5ABCDEFGHIJKLMNOP","SACOL0147","USA300HOU_0174","cap5L",1.07,2.11,"capsular polysaccharide biosynthesis protein Cap5L"
"Stress and Starvation","SigB","cap5ABCDEFGHIJKLMNOP","SACOL0148","USA300HOU_0175","cap5M",0.81,1.76,"capsular polysaccharide biosynthesis protein Cap5M"
"Stress and Starvation","SigB","cap5ABCDEFGHIJKLMNOP","SACOL0149","USA300HOU_0176","cap5N",1.09,2.13,"capsular polysaccharide biosynthesis protein Cap5N"
"Stress and Starvation","SigB","cap5ABCDEFGHIJKLMNOP","SACOL0150","USA300HOU_0177","cap5O",0.83,1.78,"capsular polysaccharide biosynthesis protein Cap5O"
"Stress and Starvation","SigB","cap5ABCDEFGHIJKLMNOP","SACOL0151","USA300HOU_0178","cap5P",0.25,1.19,"capsular polysaccharide biosynthesis protein Cap5P"
"Stress and Starvation","SigB","clpL","SACOL2563","USA300HOU_2542","clpL",4.09,17.07,"S14 family endopeptidase Clp"
"Stress and Starvation","SigB","crtNMQIO","SACOL2576","USA300HOU_2556","crtN",2.43,5.37,"squalene synthase"
"Stress and Starvation","SigB","crtNMQIO","SACOL2577","USA300HOU_2557","crtM",2.37,5.17,"squalene desaturase"
"Stress and Starvation","SigB","crtNMQIO","SACOL2578","USA300HOU_2558","crtQ",2.49,5.6,"glycosyltransferase"
"Stress and Starvation","SigB","crtNMQIO","SACOL2579","USA300HOU_2559","crtI",1.24,2.36,"phytoene dehydrogenase"
"Stress and Starvation","SigB","crtNMQIO","SACOL2580","USA300HOU_2560","crtO",-0.07,0.95,"hypothetical membrane protein"
"Stress and Starvation","SigB","csbB","SACOL0764","USA300HOU_0727","csbB",1.9,3.74,"possible glycosyltransferase"
"Stress and Starvation","SigB","csbD","SACOL1680","USA300HOU_1625","csbD",1.5,2.82,"sigma-B mediated bacterial general stress response protein"
"Stress and Starvation","SigB","eap","SACOL0985","USA300HOU_0939","eap",1.55,2.94,"extracellular adherence protein Eap"
"Stress and Starvation","SigB","epiGEFPDCBA","SACOL1871","USA300HOU_1808","epiG",3.5,11.28,"lantibiotic epidermin immunity protein F"
"Stress and Starvation","SigB","epiGEFPDCBA","SACOL1872","USA300HOU_1809","epiE",2.8,6.96,"epidermin ABC transporter, membrane protein"
"Stress and Starvation","SigB","epiGEFPDCBA","SACOL1873","USA300HOU_1810","epiF",2.36,5.13,"epidermin ABC transporter,  ATP-binding protein"
"Stress and Starvation","SigB","epiGEFPDCBA","SACOL1874","USA300HOU_1811","epiP",1.53,2.89,"S8A family lantibiotic epidermin serine protease"
"Stress and Starvation","SigB","epiGEFPDCBA","SACOL1875","USA300HOU_1812","epiD",0.04,1.02,"lantibiotic epidermin biosynthesis protein EpiD"
"Stress and Starvation","SigB","epiGEFPDCBA","SACOL1876","USA300HOU_1813","epiC",-0.2,0.87,"lantibiotic epidermin biosynthesis protein EpiC"
"Stress and Starvation","SigB","epiGEFPDCBA","SACOL1877","USA300HOU_1814","epiB",-0.58,0.67,"lantibiotic epidermin biosynthesis protein EpiB"
"Stress and Starvation","SigB","epiGEFPDCBA","SACOL1878","USA300HOU_1815","epiA",0.9,1.87,"lantibiotic epidermin EpiA"
"Stress and Starvation","SigB","fabZ murA1 SACOL2093","SACOL2091","USA300HOU_2089","fabZ",-0.86,0.55,"(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase"
"Stress and Starvation","SigB","fabZ murA1 SACOL2093","SACOL2092","USA300HOU_2090","murA1",-1.2,0.43,"UDP-N-acetylglucosamine 1-carboxyvinyltransferase"
"Stress and Starvation","SigB","fabZ murA1 SACOL2093","SACOL2093","USA300HOU_2091","USA300HOU_2091",-1.69,0.31,"hypothetical protein"
"Stress and Starvation","SigB","gdhII","SACOL2321","USA300HOU_2308","gdhII",3.46,10.99,"oxidoreductase"
"Stress and Starvation","SigB","glpQ","SACOL0962","USA300HOU_0918","glpQ",2.46,5.49,"glycerophosphoryl diester phosphodiesterase"
"Stress and Starvation","SigB","gtfAB secA2 asp3 asp2 asp1 ","SACOL2669","USA300HOU_2647","gtfB",0.79,1.73,"hypothetical protein"
"Stress and Starvation","SigB","gtfAB secA2 asp3 asp2 asp1 ","SACOL2670","USA300HOU_2648","gtfA",0.83,1.77,"glycosyl transferase, group 1 family protein"
"Stress and Starvation","SigB","gtfAB secA2 asp3 asp2 asp1 ","SACOL2671","USA300HOU_2649","secA2",0.89,1.85,"Sec family Type I general secretory pathway protein SecA2"
"Stress and Starvation","SigB","gtfAB secA2 asp3 asp2 asp1 ","SACOL2672","USA300HOU_2650","asp3",0.54,1.46,"accessory secretory protein Asp3"
"Stress and Starvation","SigB","gtfAB secA2 asp3 asp2 asp1 ","SACOL2673","USA300HOU_2651","asp2",0.5,1.42,"accessory secretory protein Asp2"
"Stress and Starvation","SigB","gtfAB secA2 asp3 asp2 asp1 ","SACOL2674","USA300HOU_2652","asp1",-0.06,0.96,"accessory secretory protein Asp1"
"Stress and Starvation","SigB","hchA","SACOL0597","USA300HOU_0544","hchA",2.76,6.76,"ThiJ/PfpI family protein"
"Stress and Starvation","SigB","hdeD","SACOL2723","USA300HOU_2702","hdeD",1.46,2.75,"hypothetical protein"
"Stress and Starvation","SigB","hutG","SACOL2327","USA300HOU_2314","hutG",1.34,2.53,"formimidoylglutamase"
"Stress and Starvation","SigB","lysP","SACOL1728","USA300HOU_1668","lysP",-1.45,0.37,"APC family amino acid-polyamine-organocation transporter"
"Stress and Starvation","SigB","map-w","SACOL2197","USA300HOU_2200","map-w",4.5,22.6,"truncated MHC class II analog protein"
"Stress and Starvation","SigB","mvaK1 mvaD mvaK2","SACOL0636","USA300HOU_0583","mvaK1",-2.34,0.2,"mevalonate kinase"
"Stress and Starvation","SigB","mvaK1 mvaD mvaK2","SACOL0637","USA300HOU_0584","mvaD",-1.25,0.42,"diphosphomevalonate decarboxylase"
"Stress and Starvation","SigB","mvaK1 mvaD mvaK2","SACOL0638","USA300HOU_0585","mvaK2",-0.97,0.51,"phosphomevalonate kinase"
"Stress and Starvation","SigB","nagB hxlAB","SACOL0616","USA300HOU_0563","nagB",1.13,2.19,"glucosamine-6-phosphate deaminase"
"Stress and Starvation","SigB","nagB hxlAB","SACOL0617","USA300HOU_0564","hxlA",1.25,2.37,"possible 3-hexulose-6-phosphate synthase"
"Stress and Starvation","SigB","nagB hxlAB","SACOL0618","USA300HOU_0565","hxlB",1.32,2.5,"glucose-6-phosphate isomerase"
"Stress and Starvation","SigB","nixA","SACOL2721","USA300HOU_2699","nixA",1.19,2.28,"NiCoT family nickel (Ni2+)-cobalt (Co2+) transporter"
"Stress and Starvation","SigB","norC hipO","SACOL0086","USA300HOU_0115","norC",2.1,4.29,"possible MFS family major facilitator transporter"
"Stress and Starvation","SigB","nreA nreB nreC narI narJ narH narG","SACOL2389","USA300HOU_2373","nreC",-1.29,0.41,"transcriptional regulatory protein"
"Stress and Starvation","SigB","nreA nreB nreC narI narJ narH narG","SACOL2390","USA300HOU_2374","nreB",-1.36,0.39,"sensory box histidine kinase"
"Stress and Starvation","SigB","nreA nreB nreC narI narJ narH narG","SACOL2391","USA300HOU_2375","nreA",-1.6,0.33,"hypothetical protein"
"Stress and Starvation","SigB","nreA nreB nreC narI narJ narH narG","SACOL2392","USA300HOU_2376","narI",-1.74,0.3,"respiratory nitrate reductase subunit gamma"
"Stress and Starvation","SigB","nreA nreB nreC narI narJ narH narG","SACOL2393","USA300HOU_2377","narJ",-1.56,0.34,"respiratory nitrate reductase subunit delta"
"Stress and Starvation","SigB","nreA nreB nreC narI narJ narH narG","SACOL2394","USA300HOU_2378","narH",-2.02,0.25,"respiratory nitrate reductase subunit beta"
"Stress and Starvation","SigB","nreA nreB nreC narI narJ narH narG","SACOL2395","USA300HOU_2379","narG",-6.22,0.01,"respiratory nitrate reductase subunit alpha"
"Stress and Starvation","SigB","nuc","SACOL0860","USA300HOU_0823","nuc",-4.13,0.06,"thermonuclease precursor"
"Stress and Starvation","SigB","ohr","SACOL0872","USA300HOU_0835","ohr",2.31,4.95,"OsmC/Ohr family protein"
"Stress and Starvation","SigB","pfpI","SACOL1933","USA300HOU_1870","pfpI",2.4,5.26,"intracellular protease"
"Stress and Starvation","SigB","pnbA","SACOL2459","USA300HOU_2441","pnbA",0.83,1.78,"carboxylesterase"
"Stress and Starvation","SigB","ptpA SACOL1940","SACOL1939","USA300HOU_1877","ptpA",1.54,2.91,"protein-tyrosine-phosphatase"
"Stress and Starvation","SigB","ptpA SACOL1940","SACOL1940","USA300HOU_1878","USA300HOU_1878",1.56,2.94,"hypothetical protein"
"Stress and Starvation","SigB","queEDC","SACOL0770","USA300HOU_0733","queE",-0.57,0.67,"organic radical-activating protein"
"Stress and Starvation","SigB","queEDC","SACOL0771","USA300HOU_0734","queD",-0.7,0.62,"possible 6-pyruvoyltetrahydropterin synthase"
"Stress and Starvation","SigB","queEDC","SACOL0772","USA300HOU_0735","queC",-1.79,0.29,"ExsB family post-transcriptional regulator"
"Stress and Starvation","SigB","rbfA truB ribC","SACOL1289","USA300HOU_1202","rbfA",0.21,1.15,"ribosome-binding factor A"
"Stress and Starvation","SigB","rbfA truB ribC","SACOL1290","USA300HOU_1203","truB",0.73,1.66,"pseudouridylate synthase"
"Stress and Starvation","SigB","rbfA truB ribC","SACOL1291","USA300HOU_1204","ribC",1.86,3.62,"bifunctional riboflavin kinase/FAD synthase RibC"
"Stress and Starvation","SigB","rbsR","SACOL0257","USA300HOU_0283","rbsR",-1.32,0.4,"ribose operon repressor"
"Stress and Starvation","SigB","rimL","SACOL0739","USA300HOU_0702","rimL",-1.9,0.27,"GNAT family acetyltransferase"
"Stress and Starvation","SigB","rlmI SACOL1090","SACOL1089","USA300HOU_1023","rlmI",0.57,1.48,"putative SAM-dependent methyltransferases"
"Stress and Starvation","SigB","rlmI SACOL1090","SACOL1090","USA300HOU_1024","USA300HOU_1024",1.23,2.35,"hypothetical protein"
"Stress and Starvation","SigB","SACOL0085 SACOL0086","SACOL0085","USA300HOU_0114","hipO",1.94,3.84,"peptidase, M20/M25/M40 family"
"Stress and Starvation","SigB","SACOL0089","SACOL0089","USA300HOU_0117","USA300HOU_0117",1.38,2.61,"myosin-cross-reactive antigen"
"Stress and Starvation","SigB","SACOL0092","SACOL0092","USA300HOU_0120","USA300HOU_0120",-0.7,0.61,"hypothetical membrane protein"
"Stress and Starvation","SigB","SACOL0155","SACOL0155","USA300HOU_0182","USA300HOU_0182",1.77,3.4,"CDF family cation diffusion facilitator"
"Stress and Starvation","SigB","SACOL0305 SACOL0306","SACOL0305","USA300HOU_0328","USA300HOU_0328",1.06,2.08,"ABC transporter, membrane protein"
"Stress and Starvation","SigB","SACOL0305 SACOL0306","SACOL0306","USA300HOU_0329","USA300HOU_0329",1.29,2.45,"ABC transporter, binding protein"
"Stress and Starvation","SigB","SACOL0399","SACOL0399","USA300HOU_0349","USA300HOU_0349",2.62,6.16,"possible dehydrogenase"
"Stress and Starvation","SigB","SACOL0444","SACOL0444","USA300HOU_0395","USA300HOU_0395",1.3,2.46,"hypothetical protein"
"Stress and Starvation","SigB","SACOL0446","SACOL0446","USA300HOU_0397","USA300HOU_0397",2.33,5.02,"hypothetical membrane protein"
"Stress and Starvation","SigB","SACOL0455 SACOL0456 SACOL0457","SACOL0455","USA300HOU_0408","USA300HOU_0408",-0.3,0.81,"hypothetical protein"
